Gene,Mean_DepScore,Mean_Zscore
ZMYND19,-0.06061632875585617,-1.086757243667936
MIR205,-0.017861981360111117,-1.0866158252220413
GTPBP6,-0.22251239094256667,-1.0837461407776483
CPSF1,-1.2747549883162128,-1.080233545977235
BCL2,-0.21061720944089546,-1.0787108392599443
B3GNT4,-0.35574293076585856,-1.0783402748781925
ENGASE,-0.13290000928016035,-1.078228170794034
THG1L,-0.9999785427721354,-1.0779433144431412
DCLRE1B,-0.8698491179193908,-1.07517310313798
SPCS2,-0.9045550233823364,-1.0748597218411524
PLG,-0.2646506499630817,-1.0734190015900331
IGFBP3,-0.20572061707953082,-1.0726089331269206
EXOSC7,-1.0450917157789283,-1.0722492979910492
NFE2L3,-0.44371351155564065,-1.0715550404563288
POP5,-1.856533872268729,-1.0704522866433892
ZNF407,-0.8639378114768531,-1.0654472289470533
HNRNPH1,-1.4012668527603775,-1.0633542974215333
PDAP1,-0.9517699375224767,-1.0629767854488668
MAFG,-0.2627670531475975,-1.0627459609988317
TUBG1,-1.5840808031676175,-1.0614187460414548
DMRTA2,-0.35684365521335676,-1.0596526018436125
ST6GALNAC1,-0.12793023433345127,-1.059008020162083
SLC16A1,-0.4189677129237136,-1.0589609636787332
SLC25A10,-0.40174086947617377,-1.0574346297171582
TUBD1,-0.47861971473721077,-1.0573878377670185
MAB21L1,-0.056458543805563435,-1.056702992539779
PPIA,-0.8826460425402101,-1.0535619972280499
GGTLC2,-1.234355537438368,-1.0526132216379251
OR2T1,-0.23079320307444443,-1.0521589289170523
LIN52,-0.6979456809925331,-1.0518025901744372
TTF2,-0.7831241906353594,-1.0502645144660145
PREP,-0.12534229877314473,-1.048992838017773
PLA2G12A,-0.3069501702087145,-1.0485594479396776
CSTF3,-1.2851995502813265,-1.0484129848049275
ELOB,-1.5572054513530276,-1.04691196169193
CAMKK2,-0.3100767546198464,-1.0435366983553291
GNAO1,-0.22499904747003846,-1.043013635810324
CDS2,-0.5553630269852179,-1.0385185358000366
THAP1,-1.545904945068805,-1.0312716916285207
MBD3,-0.21280127138378716,-1.0311486745555762
NDUFB1,-0.646836284095806,-1.0311148414953055
LOC105369236&SLX1A&SLX1B,-0.21271904249426665,-1.0298780988072318
EHBP1,-0.041899295054288466,-1.0296725532564872
TINF2,-1.5079471620773335,-1.0283983629849391
NDUFAF2,-0.28992520868688076,-1.0271574841753617
SKA2,-1.0639605790632876,-1.026931995809578
C14orf180,-0.11396139115776241,-1.024522030804523
CANT1,-0.224722723012591,-1.0212858018030346
CLPS,-0.21809790682314983,-1.0194384932429947
POLR2K,-1.2905776663797353,-1.0171922654732088
POTEI&POTEJ,-0.20723545801644447,-1.0164799503942736
RBBP4,-1.3017185420865662,-1.0136539077172082
CLK2,-0.4581435594311,-1.009889006136047
KDM5A,-0.2993913830398683,-1.009337179426038
CDAN1,-1.0693736971713417,-1.0090713009897376
CERK,-0.18559776864480385,-1.0083577200499119
PPIL1,-0.895598882414196,-1.0078619767009405
SAFB,-0.4448717207673656,-1.0065315447324232
LSM6,-1.0930412440703736,-1.005691179946353
DCTN4,-0.9489743215009263,-1.0037154448665848
PSG10P,-0.031050633701922223,-1.0034644000957995
FABP5,-0.3027858189004444,-1.0022243403139741
CEP55,-0.563205508465632,-1.001620175600876
TPTE,-0.2526999776203222,-0.9994929192601296
IGF2BP3,-0.2539277027970191,-0.9993130351761106
SPRTN,-0.8747332072041969,-0.9978312453463919
TAFA5,-0.009522640976004144,-0.9972254551164016
AFF4,-0.20754029184378836,-0.9954210043514727
SNIP1,-0.6892653340501489,-0.9952652164365943
STX16,0.036404729560422504,-0.9944293880311312
GSTM4,-0.17073685879090553,-0.993697716831077
SINHCAF,-0.7498649824109158,-0.9934327605925984
ATE1,-0.06983849988334387,-0.9918628887905774
TRAPPC3,-1.7131559396132843,-0.9910676847043963
TRAPPC1,-1.2832877908042062,-0.99033625904632
LOC220729,-0.039065205329111105,-0.9869976427463762
SRSF11,-1.1633306107996273,-0.986188639851305
PUM2,-0.2769617198378342,-0.98554446141965
DPCR1,-0.26516540853642223,-0.9825334191586964
RSRC2,-0.5734125822647704,-0.9824876133852503
KRTAP4-2,-1.064393492536624,-0.9824618021777513
BRF1,-1.3986653437760315,-0.9819582957745913
MED27,-1.0521952210933796,-0.9792577042347541
RHOC,-0.29621971913309575,-0.977665522635147
FAT4,-0.14290450948065,-0.9764685709937468
PDCD6IP,-0.6157692528143701,-0.9764574676084953
ANTXRL,-0.3031736435415061,-0.9761960142096995
RHBDF1,-0.38411149398860933,-0.975677433163664
NXT1,-0.8859629546213981,-0.9738914909915759
